date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:55	78/78	---M--	200	added ('OK')	text/plain	etag:%224e-5b09eba5c40e0%22	https://www.gardencreekvineyards.com/robots.txt		(from )
20:28:55	14884/14884	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2014:58:54%20GMT	https://www.gardencreekvineyards.com/	C:/Users/dell/Desktop/barath/agri7/www.gardencreekvineyards.com/index.html	(from )
20:29:00	1653/1653	---M--	200	added ('OK')	image/png	etag:%22759a3ac2fe32037afab7cb29e8f06e14%22	http://s3.amazonaws.com/efcheckout/gardencreekvineyards/favicon-78941.png?v20221027	C:/Users/dell/Desktop/barath/agri7/s3.amazonaws.com/efcheckout/gardencreekvineyards/favicon-789412a6d.png	(from https://www.gardencreekvineyards.com/)
20:29:00	11074/11074	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2027%20Oct%202022%2014:58:56%20GMT	https://kit.fontawesome.com/a5b1b2cb79.js	C:/Users/dell/Desktop/barath/agri7/kit.fontawesome.com/a5b1b2cb79.js	(from https://www.gardencreekvineyards.com/)
20:29:00	4273/4273	---M--	200	added ('OK')	image/png	etag:%22e1d8c282525588f87f66c78b9d118317%22	http://s3.amazonaws.com/efcheckout/gardencreekvineyards/favicon-large-37173.png?v20221027	C:/Users/dell/Desktop/barath/agri7/s3.amazonaws.com/efcheckout/gardencreekvineyards/favicon-large-371732a6d.png	(from https://www.gardencreekvineyards.com/)
20:29:00	272708/272708	---M--	200	added ('OK')	text/css	etag:%2242944-5ea7ab6eb1be1%22	https://www.gardencreekvineyards.com/resources/css/stylesheet.css?v20221027%2007:58	C:/Users/dell/Desktop/barath/agri7/www.gardencreekvineyards.com/resources/css/stylesheetd7dc.css	(from https://www.gardencreekvineyards.com/)
20:29:01	1937/1937	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Oct%202022%2014:59:01%20GMT	https://use.typekit.net/vgd1lyl.css	C:/Users/dell/Desktop/barath/agri7/use.typekit.net/vgd1lyl.css	(from https://www.gardencreekvineyards.com/)
20:29:11	229821/229821	---MCZ	200	added ('OK')	text/css	etag:%22eb628bdb6024be252786b136ca3b09ed:1438293710%22	https://cloud.typography.com/630340/636848/css/fonts.css	C:/Users/dell/Desktop/barath/agri7/cloud.typography.com/630340/636848/css/fonts.css	(from https://www.gardencreekvineyards.com/)
20:29:11	9837/9837	---M--	200	added ('OK')	image/png	etag:%22266d-5c018a7e1eade%22	https://www.gardencreekvineyards.com/resources/img/seal-gardencreek.png	C:/Users/dell/Desktop/barath/agri7/www.gardencreekvineyards.com/resources/img/seal-gardencreek.png	(from https://www.gardencreekvineyards.com/)
20:29:12	21984/21984	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2014:59:11%20GMT	https://www.gardencreekvineyards.com/vineyards/	C:/Users/dell/Desktop/barath/agri7/www.gardencreekvineyards.com/vineyards/index.html	(from https://www.gardencreekvineyards.com/)
20:29:12	22108/22108	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2014:59:12%20GMT	https://www.gardencreekvineyards.com/winemaking/	C:/Users/dell/Desktop/barath/agri7/www.gardencreekvineyards.com/winemaking/index.html	(from https://www.gardencreekvineyards.com/)
20:29:30	1045431/1045431	---M--	200	added ('OK')	application/pdf	etag:%22ff3b7-5c01ed901bea9%22	https://www.gardencreekvineyards.com/resources/pdf/Garden-Creek-Vineyards-Map.pdf	C:/Users/dell/Desktop/barath/agri7/www.gardencreekvineyards.com/resources/pdf/Garden-Creek-Vineyards-Map.pdf	(from https://www.gardencreekvineyards.com/)
